Reference, Quantity, Value, Footprint, Datasheet, Digikey, MPN, Manufacturer, Mouser
C1 C5 C7 C26 C28 C29 C32 C33 C35 C38 C39 C40 ,12,"0.1uF","Capacitor_SMD:C_0603_1608Metric","~","311-4046-1-ND","CC0603KRX5R9BB104","Yageo",""
C12 C13 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 ,12,"10n","Capacitor_SMD:C_0402_1005Metric","~","311-1677-1-ND","CC0402JRX7R8BB103","Yageo",""
C24 C25 ,2,"20p","Capacitor_SMD:C_0402_1005Metric","~","478-11758-1-ND","04023U200JAT2A","AVX",""
C2 C3 C34 ,3,"4.7uF","Capacitor_SMD:C_1206_3216Metric","~","1276-1055-1-ND","CL31B475KAHNNNE","Samsung",""
C27 C30 C31 C36 C37 ,5,"120uF","Capacitor_SMD:C_1206_3216Metric","~","732-8511-1-ND","865080545012","Würth Elektronik",""
C4 ,1,"22uF","Capacitor_SMD:C_0805_2012Metric","~","1276-6687-1-ND","CL21A226KQCLRNC","Samsung",""
C6 C8 C11 ,3,"1uF","Capacitor_SMD:C_0603_1608Metric","~","1276-1102-1-ND","CL10A105KA8NNNC","Samsung",""
C9 C10 ,2,"12pF","Capacitor_SMD:C_0402_1005Metric","~","1292-1251-1-ND","0402N120J250CT","Walsin",""
D1 D3 D4 ,3,"LED","LED_SMD:LED_0603_1608Metric","~","160-1446-1-ND","LTST-C191KGKT","Lite-On Inc.",""
D2 ,1,"SP0503BAHT","Package_TO_SOT_SMD:SOT-143","http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf","F2715CT-ND","SP0503BAHTG","Littelfuse Inc.",""
D5 D10 ,2,"LED_Green","","~","67-1059-ND","","",""
D7 ,1,"LED_Orange","","~","67-1074-ND","","",""
D8 ,1,"LED_Blue","","~","67-1747-ND","","",""
D6 D9 ,2,"LED_Red","","~","67-1647-ND","","",""
FB1 FB2 FB3 FB4 FB5 FB6 FB7 FB8 FB9 FB10 ,10,"Ferrite_Bead_Small","Inductor_SMD:L_0805_2012Metric","~","490-1054-1-ND","BLM21PG221SN1D","Murata",""
FL1 FL2 FL3 FL4 FL5 ,5,"EMI_Filter_CommonMode","","~"
J1 ,1,"Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_CUI_PJ-063AH_Horizontal","~","CP-063BH-ND","PJ-063BH","CUI Devices",""
J2 ,1,"Programming Header","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","2057-PH1-04-UA-ND","PH1-04-UA","Adam Tech",""
J3 ,1,"Programming Header","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","2057-PH2-06-UA-ND","PH2-06-UA","Adam Tech",""
J4 ,1,"UART","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
J5 ,1,"USB_B","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal"," ~","ED2982-ND","USB-B1HSW6","On Shore Technology Inc.",""
J7 ,1,"To Keyboard","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
J6 J8 J9 ,3,"USB_A",""," ~","2057-USB-A-S-VT-ND","USB-A-S-VT","Adam Tech",""
JP1 ,1,"BS1_Sel","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
JP2 ,1,"BS2_Sel","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm","~"
